Model,Accuracy,F1 Score
Support Vector Machine,0.9666666666666667,0.9665831244778613
Logistic Regression,0.9333333333333333,0.9333333333333333
K-Nearest Neighbors,0.9333333333333333,0.9326599326599326
Decision Tree,0.9,0.8997493734335839
Random Forest,0.9,0.8997493734335839
